Arbetsmoment;Grupp;Rad;Moment/Typ/Sort;Underlag/Variant;Enhet;0;-1;-2;-3;-4;-5;-6;-7;-8;-9
1;501;10;Infällda rör (VP 16–20 mm);Valv u-kantsarm = -0 / ö-kantsarm = -1 / planbjälklag = -2 / väggform trä = -3 / väggform stål = -4 / dubbel/färdig pelarform = -5 / stålregel min 45 cm = -6 / träregel = -7;m rör;0,03;0,06;0,05;0,06;0,07;0,11;0,07;0,05;;
2;501;11;Infällda rör (VP 25–50 mm);Valv u-kantsarm = -0 / ö-kantsarm = -1 / planbjälklag = -2 / väggform trä = -3 / väggform stål = -4 / dubbel/färdig pelarform = -5 / stålregel min 45 cm = -6 / träregel = -7;m rör;0,04;0,07;0,06;0,06;0,08;0,11;0,09;0,07;;
3;503;10;Utvändiga rör (VP 16–20 mm);Betong/tegel/lättbet./stål ≤5 mm inkl borrn = -0 / Trä, stål ≤3 mm självborr = -1 / Stål exkl borrn = -2 / Ankarskena = -3 / Stege/lina = -4 / Oavsett fästmetod = -5;m rör;0,11;0,08;0,09;0,07;0,03;0,07;;;;
4;503;11;Utvändiga rör (VP 25–50 mm);Betong/tegel/lättbet./stål ≤5 mm inkl borrn = -0 / Trä, stål ≤3 mm självborr = -1 / Stål exkl borrn = -2 / Ankarskena = -3 / Stege/lina = -4 / Oavsett fästmetod = -5;m rör;0,13;0,1;0,1;0,09;0,03;0,08;;;;
5;504;10;Maskin inbilning av rör;Betong (-0)/25–50 (-1);m;0,4;0,53;;;;;;;;
6;504;11;Maskin inbilning av rör;Lättbetong (-0)/25–50 (-1);m;0,07;0,1;;;;;;;;
7;504;12;Maskin inbilning av rör;Trä, tegel före puts (-0)/25–50 (-1);m;0,12;0,14;;;;;;;;
8;504;13;Maskin inbilning av rör;Tegel efter puts (-0)/25–50 (-1);m;0,27;0,35;;;;;;;;
9;506;10;Rörförläggning i färdig bilad spår (VP 16–50);Endast fastsättning (-0);m;0,06;;;;;;;;;
10;508;10;Rörförläggning utan fastsättning (VP 16–50);16–20 (-0) / 25–50 (-1);m;0,04;0,05;;;;;;;;
11;513;10;Tillägg – OMG-rör;Tidsätts som VP + tillägg (-0);m;0,03;;;;;;;;;
12;513;11;Tillägg – SM-rör;Tidsätts som VP + tillägg (-0);m;0,02;;;;;;;;;
